CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
50040656,GREGORY'S COFFEE,Manhattan,878,LEXINGTON AVE,10065,9173883850,Café/Coffee/Tea,09/21/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,12,,,09/30/2019,Cycle Inspection / Initial Inspection,40.766292232666,-73.965227876478,108,04,012000,1042440,1014000056,MN40
50056982,THE MILES COFFEE BAR,Bronx,4039,E TREMONT AVE,10465,9175132392,Café/Coffee/Tea,05/12/2018,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,21,B,05/12/2018,09/30/2019,Cycle Inspection / Re-inspection,40.81952144418,-73.817505579585,210,13,013000,2077266,2054450005,BX52
50076975,90 DEGREE COFFEE SHOP,Brooklyn,5715,5TH AVE,11220,3472833802,Chinese,07/31/2019,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,70,,,09/30/2019,Cycle Inspection / Initial Inspection,40.641033494545,-74.014531946329,307,38,010200,3015718,3008480004,BK34
50064139,FURMAN'S COFFEE,Brooklyn,547,NOSTRAND AVE,11216,7186383780,Café/Coffee/Tea,06/07/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,53,,,09/30/2019,Cycle Inspection / Initial Inspection,40.678755829996,-73.949651903194,303,36,024700,3053941,3018670004,BK61
50042803,GREGORYS COFFEE,Manhattan,356,7TH AVE,10001,9089025905,Café/Coffee/Tea,05/17/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,12,A,05/17/2019,09/30/2019,Cycle Inspection / Re-inspection,40.748286152125,-73.992601379728,105,03,009500,1014292,1007790043,MN17
50010699,ALBERT'S COFFEE SHOP,Bronx,405,HUNTS POINT AVE,10474,7183286500,American,04/25/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,18,,,09/30/2019,Cycle Inspection / Initial Inspection,40.809742798804,-73.880901810634,202,17,009300,2006921,2027720217,BX27
50004304,OASIS COFFEE SHOP,Bronx,390,TIFFANY ST,10474,9143611111,Other,07/31/2017,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,N,12,A,07/31/2017,09/30/2019,Cycle Inspection / Initial Inspection,40.807613234252,-73.889499334503,202,17,009300,2006935,2027740125,BX27
50050890,BOHAUS COFFEE  AND FLOWERS,Brooklyn,406,MARCUS GARVEY BLVD,11216,7202759932,Café/Coffee/Tea,11/18/2017,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Y,10,A,11/18/2017,09/30/2019,Cycle Inspection / Re-inspection,40.682985339313,-73.938056899321,303,36,027500,3053173,3018470036,BK35
40366938,LULU'S COFFEE SHOP,Bronx,1191,CASTLE HILL AVENUE,10462,7188223568,Café/Coffee/Tea,01/05/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,21,B,01/05/2017,09/30/2019,Cycle Inspection / Re-inspection,40.831707036899,-73.850999305895,209,18,009200,2026488,2038110036,BX59
50059261,STARBUCKS COFFEE COMPANY #48116,Queens,15927,JAMAICA AVE,11432,2126159700,Café/Coffee/Tea,05/16/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,2,A,05/16/2018,09/30/2019,Cycle Inspection / Initial Inspection,40.703479062922,-73.799852504835,412,24,044601,4208839,4097560056,QN61
41139783,JK & SONS COFFEE SHOP,Brooklyn,801,BROADWAY,11206,7187822366,American,09/25/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,25,B,09/25/2018,09/30/2019,Cycle Inspection / Re-inspection,40.699713096305,-73.940136641296,304,34,038900,3071691,3031320006,BK78
50056104,RGA CAFE & COFFEE BAR,Manhattan,450,W 33RD ST,10001,9737399060,American,03/29/2019,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Y,13,A,03/29/2019,09/30/2019,Cycle Inspection / Initial Inspection,40.753567304304,-73.998837782767,104,03,010300,1085401,1007299001,MN13
50059251,GREGORYS COFFEE,Manhattan,485,MADISON AVE,10022,6469829968,Café/Coffee/Tea,03/01/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,2,A,03/01/2017,09/30/2019,Pre-permit (Operational) / Initial Inspection,40.758818029666,-73.974876794513,105,04,010200,1035474,1012870052,MN17
50053346,COFFEE TOSSY,Queens,4214,GREENPOINT AVE,11104,9295220944,Sandwiches/Salads/Mixed Buffet,03/25/2019,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,12,A,03/25/2019,09/30/2019,Cycle Inspection / Re-inspection,40.740536638479,-73.922774630483,402,26,018502,4002133,4001750012,QN31
41421031,LANO'S COFFEE SHOP & RESTAURANT,Brooklyn,107,3 AVENUE,11217,7183463617,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",08/02/2018,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,60,,,09/30/2019,Cycle Inspection / Initial Inspection,40.682929345516,-73.982300442289,302,33,012700,3005982,3003890002,BK38
40931888,EL PEQUENO COFFEE SHOP,Queens,8610,ROOSEVELT AVENUE,11372,7182057128,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/19/2018,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours, and from 70º F to 41º F or less within 4 additional hours.",Y,25,,,09/30/2019,Cycle Inspection / Initial Inspection,40.748031493061,-73.879987583859,404,21,026901,4037053,4015020006,QN29
41276492,LA FE BAKERY & COFFEE SHOP,Queens,3908,64 STREET,11377,7184766762,Café/Coffee/Tea,09/21/2017,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,N,11,A,09/21/2017,09/30/2019,Cycle Inspection / Initial Inspection,40.746189685642,-73.899948529247,402,26,026100,4028409,4012330066,QN63
50078428,CHAMPION COFFEE,Manhattan,319,E 14TH ST,10003,9172615949,Café/Coffee/Tea,08/16/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,17,B,08/16/2018,09/30/2019,Pre-permit (Operational) / Re-inspection,40.732019829593,-73.984152791456,106,02,004800,1020395,1009210012,MN21
50035686,TOBY'S ESTATE COFFEE,Manhattan,230,PARK AVE,10169,3474576160,Café/Coffee/Tea,03/02/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,17,,,09/30/2019,Cycle Inspection / Initial Inspection,40.75450075314,-73.975950427165,105,04,009200,1036185,1013000001,MN19
50037116,COFFEE Z,Brooklyn,30,NEWKIRK PLZ,11226,7184849119,Café/Coffee/Tea,10/27/2017,Violations were cited in the following area(s).,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Y,43,,,09/30/2019,Cycle Inspection / Initial Inspection,40.635300019008,-73.962810360339,314,40,052000,3121195,3052360040,BK42
50071474,BEST BAGEL & COFFEE,Manhattan,225,W 35TH ST,10001,2125644409,Bagels/Pretzels,11/02/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,30,,,09/30/2019,Cycle Inspection / Initial Inspection,40.752043618577,-73.991041748626,105,03,010900,1014427,1007850025,MN17
41626743,LENOX COFFEE,Manhattan,60,WEST  129 STREET,10027,6468337839,Café/Coffee/Tea,05/29/2019,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,N,52,,,09/30/2019,Cycle Inspection / Initial Inspection,40.809812096937,-73.942461175909,110,09,020800,1053712,1017260069,MN03
50040656,GREGORY'S COFFEE,Manhattan,878,LEXINGTON AVE,10065,9173883850,Café/Coffee/Tea,05/26/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,12,A,05/26/2017,09/30/2019,Cycle Inspection / Initial Inspection,40.766292232666,-73.965227876478,108,04,012000,1042440,1014000056,MN40
41477814,2 BROS PIZZA/ CORVO COFFEE,Manhattan,542,9 AVENUE,10018,2126952642,Pizza,07/29/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,18,,,09/30/2019,Cycle Inspection / Initial Inspection,40.75704199863,-73.99362190872,104,03,011500,1013697,1007630073,MN15
50050253,JONES DAY CAFE & COFFEE BAR,Manhattan,250,VESEY ST,10281,2129017027,American,09/28/2017,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Y,10,A,09/28/2017,09/30/2019,Cycle Inspection / Initial Inspection,40.714521963959,-74.015677098865,101,01,031703,1000060,1000160150,MN25
50088713,BLUE BOTTLE COFFEE,Manhattan,20,HUDSON YARDS,,5107175314,Café/Coffee/Tea,06/21/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,12,A,06/21/2019,09/30/2019,Pre-permit (Operational) / Re-inspection,0,0,,,,,1,
50060268,STARBUCKS COFFEE,Manhattan,28,W 48TH ST,10036,2126159700,Other,05/31/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,16,,,09/30/2019,Pre-permit (Operational) / Initial Inspection,40.757940661918,-73.979703173011,105,04,009600,1034492,1012630054,MN17
40366938,LULU'S COFFEE SHOP,Bronx,1191,CASTLE HILL AVENUE,10462,7188223568,Café/Coffee/Tea,05/03/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,7,,,09/30/2019,Cycle Inspection / Initial Inspection,40.831707036899,-73.850999305895,209,18,009200,2026488,2038110036,BX59
41060762,PRIMO COFFEE CART,Manhattan,0,PENN STATION,10121,9735804185,Café/Coffee/Tea,07/27/2018,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,103,,,09/30/2019,Cycle Inspection / Initial Inspection,40.750059234828,-73.992106724456,105,03,010100,1083026,1007810002,MN17
